Date,Time,VSpd(m/s),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,Ptch(rad),Roll(rad),Yaw(rad),Rud,Ele,Thr,Ail,P1,P2,P3,SA,SB,SC,SD,SE,SF,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-01-17,10:17:15.060,0.0,-40,-39,100,11,1,4,10,-15,100,12,33.876592 37.777213,0.0,201.00,0,27,25.1,1.2,51,25,"OK",-0.17,0.03,-1.30,2,3,-929,2,-1024,-19,-1024,-1,-1,-1,-1,1,-1,0x0000000000014008,1501,1501,1036,1501,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-17,10:17:16.000,0.0,-42,-36,100,11,1,4,10,-13,100,12,33.876592 37.777213,0.0,201.00,0,27,25.0,1.2,52,25,"OK",-0.17,0.03,-1.29,1,1,-1024,0,-1024,-20,-1024,-1,-1,-1,-1,1,-1,0x000000000001400B,1500,1500,988,1500,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-17,10:17:17.000,0.0,-41,-33,100,11,1,4,10,-16,100,12,33.876592 37.777213,0.0,201.00,0,27,25.0,1.2,52,25,"MANU",-0.17,0.03,-1.29,6,1,-1023,0,-1024,-20,-1024,-1,-1,-1,-1,1,-1,0x000000000001400B,1499,1500,992,1502,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-17,10:17:18.000,0.0,-43,-32,100,11,1,4,10,-15,100,12,33.876593 37.777215,0.1,201.00,-1,27,25.0,1.2,52,25,"MANU",-0.17,0.03,-1.29,144,3,-1024,0,-1024,-20,-1024,-1,-1,-1,-1,1,-1,0x000000000001400B,1500,1501,988,1572,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-17,10:17:19.000,0.0,-41,-30,100,11,1,4,10,-14,100,12,33.876593 37.777215,0.1,201.00,-1,27,25.0,1.3,53,25,"MANU",-0.17,0.03,-1.29,5,1,-1024,0,-1024,-20,-1024,-1,-1,-1,-1,1,-1,0x000000000001400B,1500,1500,988,1502,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-17,10:17:20.000,0.0,-44,-33,100,12,1,4,10,-17,100,12,33.876593 37.777215,0.1,201.00,-1,27,25.0,1.3,53,25,"MANU",-0.17,0.03,-1.29,2,0,-1024,-2,-1024,-20,-1024,-1,-1,-1,-1,1,-1,0x000000000001400B,1499,1500,988,1501,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-17,10:17:21.000,0.0,-42,-31,100,11,1,4,10,-16,100,12,33.876593 37.777215,0.1,201.00,-1,27,25.0,1.3,53,25,"MANU",-0.17,0.03,-1.29,1,3,-1024,-1,-1024,-19,-1024,-1,-1,-1,-1,1,-1,0x000000000001400B,1500,1501,988,1500,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-17,10:17:22.000,0.0,-43,-33,100,11,1,4,10,-17,100,11,33.876596 37.777217,0.1,201.00,-1,27,25.0,1.3,53,25,"MANU",-0.17,0.03,-1.29,3,4,-894,-1,-1024,-20,-1024,-1,-1,-1,-1,1,-1,0x0000000000014008,1500,1502,1053,1501,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-17,10:17:23.000,0.0,-42,-31,100,11,1,4,10,-17,100,12,33.876596 37.777217,0.1,201.00,-1,27,25.0,1.3,54,25,"MANU",-0.16,0.03,-1.29,10,2,-307,2,-1024,-20,-1024,-1,-1,-1,-1,1,-1,0x0000000000014008,1501,1501,1347,1505,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
2025-01-17,10:17:24.000,0.0,-43,-37,100,11,1,4,10,-17,100,12,33.876596 37.777217,0.1,201.00,-1,27,25.0,1.3,54,25,"MANU",-0.16,0.03,-1.29,-2,1,-165,1,-1024,-20,-1024,-1,-1,-1,-1,1,-1,0x0000000000014008,1500,1500,1418,1499,2012,988,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5
